Airline,Source,Destination,Total_Stops,Price,Dep_Hour,Dep_Min,Arrival_Hour,Arrival_Min,Date,Month,Duration_Hours,Duration_Mins,Weekday,day/night
IndiGo,Banglore,Delhi,0,3897,22,20,1,10,24,3,2.0,50,7,5.0
Air India,Kolkata,Banglore,2,7662,5,50,13,15,5,1,7.0,25,6,1.0
Jet Airways,Delhi,Cochin,2,13882,9,25,4,25,6,9,19.0,0,5,2.0
IndiGo,Kolkata,Banglore,1,6218,18,5,23,30,5,12,5.0,25,4,4.0
IndiGo,Banglore,Delhi,1,13302,16,50,21,35,3,1,4.0,45,4,4.0
SpiceJet,Kolkata,Banglore,0,3873,9,0,11,25,24,6,2.0,25,1,2.0
Jet Airways,Banglore,Delhi,1,11087,18,55,10,25,3,12,15.0,30,2,4.0
Jet Airways,Banglore,Delhi,1,22270,8,0,5,5,3,1,21.0,5,4,2.0
Jet Airways,Banglore,Delhi,1,11087,8,55,10,25,3,12,1.0,30,2,2.0
Multiple carriers,Delhi,Cochin,1,8625,11,25,19,15,27,5,7.0,50,1,2.0
Air India,Delhi,Cochin,1,8907,9,45,23,0,6,1,13.0,15,7,2.0
IndiGo,Kolkata,Banglore,0,4174,20,20,22,55,18,4,2.0,35,4,5.0
Air India,Chennai,Kolkata,0,4667,11,40,13,55,24,6,2.0,15,1,2.0
Jet Airways,Kolkata,Banglore,1,9663,21,10,9,20,5,9,12.0,10,4,5.0
IndiGo,Kolkata,Banglore,0,4804,17,15,19,50,24,4,2.0,35,3,4.0
Air India,Delhi,Cochin,2,14011,16,40,19,15,3,3,2.0,35,7,4.0
SpiceJet,Delhi,Cochin,1,5830,8,45,13,15,15,4,4.0,30,1,2.0
Jet Airways,Delhi,Cochin,1,10262,14,0,12,35,6,12,22.0,35,5,3.0
Air India,Delhi,Cochin,2,13381,20,15,19,15,6,12,23.0,0,5,5.0
Jet Airways,Delhi,Cochin,1,12898,16,0,12,35,27,5,20.0,35,1,4.0
GoAir,Delhi,Cochin,1,19495,14,10,19,20,3,6,5.0,10,1,3.0
Air India,Banglore,Delhi,1,6955,22,0,13,20,21,3,15.0,20,4,5.0
IndiGo,Banglore,Delhi,0,3943,4,0,6,50,4,3,2.0,50,1,1.0
IndiGo,Banglore,Delhi,0,4823,18,55,21,50,5,1,2.0,55,6,4.0
Jet Airways,Kolkata,Banglore,1,7757,18,55,8,15,5,6,13.0,20,3,4.0
Jet Airways,Delhi,Cochin,2,13292,21,25,12,35,6,9,15.0,10,5,5.0
IndiGo,Delhi,Cochin,1,8238,21,50,3,35,6,1,5.0,45,7,5.0
GoAir,Delhi,Cochin,1,7682,7,0,12,55,15,5,5.0,55,3,1.0
Vistara,Banglore,Delhi,0,4668,9,45,12,35,18,6,2.0,50,2,2.0
Vistara,Chennai,Kolkata,0,3687,7,5,9,20,15,6,2.0,15,6,1.0
Vistara,Chennai,Kolkata,0,3687,7,5,9,20,18,6,2.0,15,2,1.0
Air India,Kolkata,Banglore,2,13227,9,50,23,15,5,1,13.0,25,6,2.0
IndiGo,Banglore,Delhi,0,4423,4,0,6,50,4,6,2.0,50,2,1.0
Jet Airways,Delhi,Cochin,2,10919,14,35,12,35,15,6,22.0,0,6,3.0
Jet Airways,Delhi,Cochin,1,12373,7,5,12,35,18,5,5.0,30,6,1.0
IndiGo,Delhi,Cochin,1,5894,10,35,21,0,27,6,10.0,25,4,2.0
SpiceJet,Kolkata,Banglore,1,4649,15,5,20,20,21,5,5.0,15,2,3.0
Air India,Kolkata,Banglore,0,6245,14,15,16,45,18,5,2.0,30,6,3.0
Jet Airways,Banglore,Delhi,1,19225,7,0,13,15,3,6,6.0,15,1,1.0
Jet Airways,Delhi,Cochin,1,14924,7,5,19,0,6,3,11.0,55,3,1.0
Multiple carriers,Delhi,Cochin,1,9646,7,5,18,10,21,5,11.0,5,2,1.0
Air India,Banglore,Delhi,1,8714,6,45,15,15,15,3,8.0,30,5,1.0
Jet Airways,Delhi,Cochin,1,12373,20,55,19,0,18,5,22.0,5,6,5.0
Air Asia,Banglore,Delhi,0,3383,11,10,13,55,5,6,2.0,45,3,2.0
Multiple carriers,Delhi,Cochin,1,13062,9,0,21,0,21,3,12.0,0,4,2.0
SpiceJet,Banglore,Delhi,0,3527,5,45,8,35,24,3,2.0,50,7,1.0
IndiGo,Banglore,Delhi,0,3943,4,0,6,50,27,5,2.0,50,1,1.0
Air India,Chennai,Kolkata,0,4667,11,40,13,55,5,3,2.0,15,2,2.0
Air India,Kolkata,Banglore,1,6117,19,0,11,5,15,5,16.0,5,3,4.0
Jet Airways,Delhi,Cochin,2,11150,23,5,19,0,27,6,19.0,55,4,5.0
Jet Airways,Delhi,Cochin,0,7202,11,0,14,15,3,9,3.0,15,2,2.0
Jet Airways,Kolkata,Banglore,1,12121,9,35,10,55,5,1,1.0,20,6,2.0
IndiGo,Banglore,Delhi,0,4377,22,20,1,10,24,3,2.0,50,7,5.0
IndiGo,Banglore,Delhi,0,3943,21,15,0,15,18,6,3.0,0,2,5.0
Air Asia,Banglore,Delhi,0,4483,23,55,2,45,4,3,2.0,50,1,5.0
Jet Airways,Kolkata,Banglore,1,14231,19,45,12,0,24,3,16.0,15,7,4.0
Air India,Banglore,Delhi,2,17345,8,50,23,55,3,1,15.0,5,4,2.0
Vistara,Chennai,Kolkata,0,7414,7,5,9,20,3,6,2.0,15,1,1.0
Multiple carriers,Delhi,Cochin,1,8073,19,0,1,30,5,6,6.0,30,3,4.0
Vistara,Mumbai,Hyderabad,1,12395,15,40,16,45,3,6,1.0,5,1,3.0
Air India,Kolkata,Banglore,1,8366,9,25,21,50,6,6,12.0,25,4,2.0
Air India,Delhi,Cochin,1,5117,6,5,9,25,4,3,3.0,20,1,1.0
Multiple carriers,Delhi,Cochin,1,12524,8,45,19,0,6,3,10.0,15,3,2.0
IndiGo,Delhi,Cochin,1,7191,15,0,1,30,15,5,10.0,30,3,3.0
Vistara,Chennai,Kolkata,0,3687,7,5,9,20,24,5,2.0,15,5,1.0
IndiGo,Delhi,Cochin,1,5894,10,35,21,0,24,6,10.0,25,1,2.0
Vistara,Banglore,Delhi,0,5403,9,45,12,35,24,4,2.0,50,3,2.0
Air India,Mumbai,Hyderabad,0,3625,13,55,15,25,5,6,1.0,30,3,3.0
Air India,Delhi,Cochin,2,10861,5,55,19,15,21,5,13.0,20,2,1.0
IndiGo,Chennai,Kolkata,0,6297,13,20,15,35,3,12,2.0,15,2,3.0
Jet Airways,Mumbai,Hyderabad,0,5678,7,5,8,30,6,1,1.0,25,7,1.0
Jet Airways,Banglore,Delhi,1,9134,5,45,8,15,3,9,2.0,30,2,1.0
Multiple carriers,Delhi,Cochin,1,10791,11,40,19,0,24,6,7.0,20,1,2.0
Jet Airways,Delhi,Cochin,2,12819,23,5,12,35,24,6,13.0,30,1,5.0
IndiGo,Delhi,Cochin,1,6893,5,5,10,5,21,3,5.0,0,4,1.0
Vistara,Banglore,Delhi,0,7240,9,50,12,35,3,9,2.0,45,2,2.0
GoAir,Banglore,Delhi,0,3898,11,40,14,30,4,3,2.0,50,1,2.0
IndiGo,Mumbai,Hyderabad,0,4049,6,25,7,55,4,3,1.0,30,1,1.0
Jet Airways,Delhi,Cochin,1,10262,17,30,12,35,15,6,19.0,5,6,4.0
SpiceJet,Chennai,Kolkata,0,3332,8,20,10,35,21,3,2.0,15,4,2.0
Jet Airways,Kolkata,Banglore,1,10844,21,10,12,0,6,9,14.0,50,5,5.0
Jet Airways,Banglore,Delhi,0,7229,19,55,22,35,24,3,2.0,40,7,4.0
Jet Airways,Kolkata,Banglore,1,13941,6,30,4,40,5,6,22.0,10,3,1.0
IndiGo,Delhi,Cochin,1,5894,11,25,21,0,27,6,9.0,35,4,2.0
Multiple carriers,Delhi,Cochin,1,10197,9,0,19,0,18,5,10.0,0,6,2.0
Jet Airways,Banglore,Delhi,1,13712,14,5,11,25,3,6,21.0,20,1,3.0
IndiGo,Delhi,Cochin,1,5636,2,0,7,25,24,6,5.0,25,1,6.0
Jet Airways,Delhi,Cochin,2,13014,9,40,4,25,6,6,18.0,45,4,2.0
Jet Airways,Kolkata,Banglore,1,7064,8,25,20,45,4,1,12.0,20,5,2.0
Jet Airways,Kolkata,Banglore,1,10703,20,25,14,25,24,5,18.0,0,5,5.0
Multiple carriers,Delhi,Cochin,1,9646,13,15,22,30,27,5,9.0,15,1,3.0
Multiple carriers,Delhi,Cochin,1,17057,2,15,13,20,3,6,11.0,5,1,6.0
Jet Airways,Banglore,Delhi,1,13817,16,55,10,25,3,12,17.0,30,2,4.0
Air India,Delhi,Cochin,2,13748,5,55,19,15,3,6,13.0,20,1,1.0
Air India,Kolkata,Banglore,0,4880,20,45,23,20,21,4,2.0,35,7,5.0
IndiGo,Chennai,Kolkata,0,3540,5,15,7,40,21,6,2.0,25,5,1.0
SpiceJet,Banglore,Delhi,0,3257,5,55,8,35,15,5,2.0,40,3,1.0
Jet Airways,Banglore,Delhi,0,6478,19,50,22,50,6,3,3.0,0,3,4.0
Jet Airways,Mumbai,Hyderabad,0,8040,7,5,8,30,18,6,1.0,25,2,1.0
Jet Airways,Delhi,Cochin,2,14300,20,0,12,35,6,12,16.0,35,5,5.0
Jet Airways,Kolkata,Banglore,1,14781,8,25,20,45,15,5,12.0,20,3,2.0
Jet Airways,Kolkata,Banglore,1,14939,20,0,8,15,6,9,12.0,15,5,5.0
Jet Airways,Delhi,Cochin,1,10262,20,55,4,25,24,6,7.0,30,1,5.0
Air India,Kolkata,Banglore,1,6528,14,35,14,35,5,12,24.0,0,4,3.0
Air India,Banglore,Delhi,0,6121,6,10,8,55,5,1,2.0,45,6,1.0
Jet Airways,Delhi,Cochin,2,13029,19,30,4,25,18,5,8.0,55,6,4.0
Multiple carriers,Delhi,Cochin,1,11421,11,40,18,50,27,3,7.0,10,3,2.0
